youtube_url,title,author_name,thumbnail_url,date,views,description,fetch_date
https://www.youtube.com/watch?v=l5e1wHwZ__c,Everyone with Multiple Computers Should Have This Tiny KVM Tool ! #openterface,FamilyGeekery,https://yt3.ggpht.com/E0GurViIbPH1skzVN5g7rjvyGnwAGHyjmuBgfjPDn3LyoWApDl4KAXKCt5bEya93aDGL7inhwg=s88-c-k-c0x00ffffff-no-rj,2025-05-01,4.0K,,2025-12-16 11:24:47
https://www.youtube.com/watch?v=sKDYsKBv90A,Openterface: A KVM over USB Device,Home Network Guy,https://yt3.ggpht.com/wmQPGuau8ThNtsGR0Kc6m78_55P0_hH6fB4p2dPwHlIXyZ61SGk7yl9ogIMxaWhb8Q0f8zAn=s88-c-k-c0x00ffffff-no-rj,2025-01-17,4.3K,,2025-12-16 11:24:50
https://www.youtube.com/watch?v=ZZ5P6MnBcHw,A USB KVM for your IT Tool Bag,apalrd's adventures,https://yt3.ggpht.com/qencJ8YC4SCPbV_ylp47d-yNIAMTzt6QlncVrJ8FfwRDYeB4m7St7MZNSCDOVx3Qw_9CJxHR5A=s88-c-k-c0x00ffffff-no-rj,2024-06-25,26.5K,,2025-12-16 11:24:52
https://www.youtube.com/watch?v=lwitzvmxsgc,Openterface Mini-KVM open-source KVM gadget,Make:,https://yt3.ggpht.com/ytc/AIdro_mbT6bPBRqaz5fH4ZhPL1KzEDJ1y1-ZgA8Bt1OATJ9omHvR=s88-c-k-c0x00ffffff-no-rj,2024-05-30,2.8K,learn more at https://www.crowdsupply.com/techxartisan/openterface-mini-kvm,2025-12-16 11:24:55
https://www.youtube.com/watch?v=FaAFCHHQeQg,Playing around with the KVM-Mini Toolkit,Per Mejdal Rasmussen,https://yt3.ggpht.com/ytc/AIdro_kdotLHlTa1Y2q8-iN2iWHWF1EUnyVTxxrfbXqb-9ql7sY=s88-c-k-c0x00ffffff-no-rj,2024-12-12,491,,2025-12-16 11:25:01
https://www.youtube.com/watch?v=K0EuMSQEwKo,Turn Your Laptop into a KVM Console using Mini-KVM,Electromaker,https://yt3.ggpht.com/erBuQrc8PUPxL6UVWNLwUUXZu1QoY1qmWe4x-nVdxhw_kMOeMsT3SDhHM3sYxt2oYKC--zNvug=s88-c-k-c0x00ffffff-no-rj,2024-07-02,11.8K,,2025-12-16 11:25:08
https://www.youtube.com/watch?v=xAEQpWyfY-c,This USB KVM Console is Awesome! - Openterface by TechxArtisan,Cameron Gray,https://yt3.ggpht.com/5PO3ZYQMljAvN-whnmlMKXvceL0N83EvbrICFDqNT70MgCk_pRAlRAPPE2QZNqsxRfcJ_pRjo7k=s88-c-k-c0x00ffffff-no-rj,2024-03-30,60.1K,,2025-12-16 11:25:19
https://www.youtube.com/watch?v=B7GHj7mPei4,【楽しすぎる】M4 MacMini 2024を外に持ち出す方法がロマンすぎた！！！！,野市 零 / Zero Noichi,https://yt3.ggpht.com/-wFXaLYB_lhWD63lDMk7y9_ye3uBcM68c1Yh9B-_9iSQR5OxUwwiJBkzKrZasEe4_rEYVoLA=s88-c-k-c0x00ffffff-no-rj,2024-11-18,15.5K,,2025-12-16 11:25:28
https://www.youtube.com/watch?v=1iTaDp24PBI,【革命】M4 MacMini 2024を外に持ち出して使えたwwww,野市 零 / Zero Noichi,https://yt3.ggpht.com/-wFXaLYB_lhWD63lDMk7y9_ye3uBcM68c1Yh9B-_9iSQR5OxUwwiJBkzKrZasEe4_rEYVoLA=s88-c-k-c0x00ffffff-no-rj,2024-11-16,4.5K,,2025-12-16 11:25:38
https://www.youtube.com/watch?v=hOSP7je8zSk,【紹介】【スイッチ】【簡単】1社に1個あると良い！TechxArtisan社のMini KVM,もりこーぽちゃんねる　インフラ系エンジニア情報チャンネル,https://yt3.ggpht.com/SnBBa_jP4nHBXxH8x15EVoxK0Lmd7DNUPaSIzajdyHLBylcN9DtqmK11YH5IDoTtpgprQUiBKt8=s88-c-k-c0x00ffffff-no-rj,2024-09-06,2.7K,【紹介】【スイッチ】【簡単】1社に1個あると良い！TechxArtisan社のMini KVM  今回はTechxArtisan社のMini-KVMの #紹介 動画です。 #KVMスイッチ とは何かと言いますと、ユーザーが複数のコンピュータを1組のキーボード、ディスプレイ、マウスから操作するためのハードウェアで、CPU切替器、PC切替器という名称も用いられる。\,2025-12-16 11:25:46
